# OSU MPI-ROCM Allreduce Latency Test v7.5.2
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      28.98
8                      30.58
16                     54.72
32                     54.72
64                     53.33
128                    57.00
256                    57.11
512                    59.15
1024                   61.14
2048                   62.79
4096                   67.75
8192                   87.18
16384                 103.64
32768                 128.11
65536                 173.46
131072                402.82
262144                497.27
524288               1012.86
1048576              1803.24
