# Send Buffer on DEVICE (D) and Receive Buffer on DEVICE (D)
# Size      Bandwidth (MB/s)
1                       0.24
2                       0.49
4                       0.98
8                       1.94
16                      3.90
32                      7.79
64                     15.56
128                    30.95
256                    61.25
512                   120.91
1024                  236.13
2048                  424.23
4096                  727.61
8192                 1506.88
16384                2944.72
32768                4572.38
65536                6313.93
131072              13326.39
262144              26877.21
524288              35714.44
1048576             42685.15
2097152             48429.17
4194304             55933.09
