# OSU MPI Bi-Directional Bandwidth Test v7.5.2
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       5.05
2                      11.32
4                      22.01
8                      41.99
16                     77.46
32                    166.55
64                    309.73
128                   464.50
256                   854.00
512                  1395.97
1024                 2602.01
2048                 4931.18
4096                 9408.68
8192                14237.36
16384               21298.01
32768               31093.87
65536               40299.18
131072              50535.75
262144              39821.71
524288              26976.56
1048576             21479.37
2097152             20371.61
4194304             19960.47
