# OSU MPI-ROCM Bi-Directional Bandwidth Test v7.5.2
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       5.46
2                      10.60
4                      20.30
8                      42.90
16                     82.07
32                    159.12
64                    308.21
128                   428.57
256                   756.10
512                  1301.34
1024                 1694.73
2048                 2793.98
4096                 3820.70
8192                 4209.54
16384                4513.98
32768                4608.05
65536                4845.83
131072               4976.79
262144               5043.46
524288              70694.12
1048576             90694.96
2097152            104126.48
4194304            114708.98
