# OSU MPI Bi-Directional Bandwidth Test v7.5.2
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       5.32
2                      10.55
4                      23.24
8                      46.53
16                     85.99
32                    165.70
64                    329.16
128                   454.84
256                   898.33
512                  1457.94
1024                 2648.88
2048                 5382.35
4096                10245.11
8192                17234.28
16384               27629.10
32768               38652.96
65536               58295.90
131072              59797.85
262144              46052.46
524288              67992.28
1048576             73392.40
2097152             75932.64
4194304             73717.83
