# OSU MPI Bi-Directional Bandwidth Test v7.5.2
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       5.43
2                      11.32
4                      22.33
8                      46.98
16                     80.07
32                    160.00
64                    330.18
128                   445.18
256                   907.92
512                  1416.66
1024                 2704.14
2048                 5049.25
4096                 9514.04
8192                14344.72
16384               21292.31
32768               31631.35
65536               40131.56
131072              47455.02
262144              37809.49
524288              25425.95
1048576             21359.56
2097152             20187.02
4194304             19636.44
