# OSU MPI-ROCM Bi-Directional Bandwidth Test v7.5.2
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       5.51
2                      11.24
4                      22.75
8                      45.14
16                     83.31
32                    165.76
64                    328.02
128                   466.65
256                   879.69
512                  1420.43
1024                 1811.35
2048                 2869.30
4096                 3933.08
8192                 4044.71
16384                4684.69
32768                4730.35
65536               14152.57
131072              26254.62
262144              45486.09
524288              70361.59
1048576             90569.83
2097152            104611.86
4194304            114717.71
