# Send Buffer on DEVICE (D) and Receive Buffer on DEVICE (D)
# Size      Bandwidth (MB/s)
1                       0.24
2                       0.50
4                       0.99
8                       1.96
16                      3.93
32                      7.86
64                     15.69
128                    31.28
256                    61.73
512                   121.51
1024                  239.32
2048                  429.27
4096                  734.13
8192                 1511.38
16384                2965.13
32768                4595.99
65536                6338.39
131072              13385.57
262144              27081.82
524288              35551.97
1048576             41916.08
2097152             49531.68
4194304             55646.22
