# OSU MPI-ROCM Bi-Directional Bandwidth Test v7.5.2
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       5.43
2                      11.19
4                      23.05
8                      46.05
16                     84.33
32                    164.62
64                    322.73
128                   467.84
256                   897.29
512                  1445.59
1024                 1850.47
2048                 2848.41
4096                 3859.65
8192                 4051.08
16384                4592.33
32768                4693.02
65536                4834.95
131072              26030.66
262144              45310.67
524288              70373.84
1048576             90387.53
2097152            104763.14
4194304            114799.41
