# OSU MPI Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)        Validation
1                       1.93              Pass
2                       1.96              Pass
4                       1.96              Pass
8                       1.94              Pass
16                      1.87              Pass
32                      1.88              Pass
64                      1.92              Pass
128                     2.08              Pass
256                     3.93              Pass
512                     4.15              Pass
1024                    4.89              Pass
2048                    4.67              Pass
4096                    5.12              Pass
8192                    2.04              Pass
16384                   2.22              Pass
32768                   2.41              Pass
65536                   2.72              Pass
131072                  3.60              Pass
262144                  5.61              Pass
524288                 13.44              Pass
1048576                45.75              Pass
2097152               101.59              Pass
4194304               230.54              Pass
