# OSU MPI-CUDA Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      12.40
2                      11.66
4                      11.26
8                      10.95
16                     11.06
32                     11.18
64                     11.03
128                    10.76
256                    10.48
512                    10.48
1024                   10.44
2048                   10.46
4096                   10.46
8192                   10.52
16384                  10.47
32768                  10.71
65536                  10.97
131072                 11.65
262144                 12.61
524288                 14.52
1048576                18.75
2097152                26.83
4194304                42.86
