# OSU MPI Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)        Validation
1                       2.91              Pass
2                       2.94              Pass
4                       2.88              Pass
8                       2.88              Pass
16                      2.87              Pass
32                      2.87              Pass
64                      2.90              Pass
128                     3.62              Pass
256                     3.66              Pass
512                     3.71              Pass
1024                    3.73              Pass
2048                    3.95              Pass
4096                    4.41              Pass
8192                    4.86              Pass
16384                   5.83              Pass
32768                  11.50              Pass
65536                  12.93              Pass
131072                 15.73              Pass
262144                 21.09              Pass
524288                 31.95              Pass
1048576                53.49              Pass
2097152                96.75              Pass
4194304               183.37              Pass
