# OSU MPI Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)        Validation
1                       0.90              Pass
2                       0.90              Pass
4                       0.91              Pass
8                       0.90              Pass
16                      1.11              Pass
32                      1.11              Pass
64                      1.15              Pass
128                     1.15              Pass
256                     1.34              Pass
512                     2.48              Pass
1024                    2.48              Pass
2048                    2.50              Pass
4096                    2.52              Pass
8192                    2.56              Pass
16384                   2.62              Pass
32768                   3.48              Pass
65536                   3.93              Pass
131072                  4.57              Pass
262144                  6.35              Pass
524288                 13.10              Pass
1048576                42.61              Pass
2097152               100.67              Pass
4194304               224.14              Pass
