# OSU MPI-ROCM Allgather Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      19.29
2                      19.16
4                      21.65
8                      23.96
16                     27.39
32                     28.60
64                     29.81
128                    31.53
256                    36.31
512                    42.02
1024                   53.44
2048                   90.48
4096                  162.37
8192                  226.52
16384                2584.20
32768                2476.25
65536                2910.19
131072               2925.96
262144               3680.61
524288               4951.53
1048576              7764.04
