# OSU MPI-ROCM Allreduce Latency Test v7.5.2
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                       2.65
8                       2.56
16                      2.51
32                      2.53
64                      2.67
128                     2.93
256                     6.55
512                     7.17
1024                   10.16
2048                   11.50
4096                   13.74
8192                   41.27
16384                  98.62
32768                 105.67
65536                 134.50
131072                159.76
262144                157.78
524288                185.54
1048576               240.70
