# OSU MPI-ROCM All-to-All Personalized Exchange Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       5.59
2                       4.63
4                       4.70
8                       4.48
16                      5.47
32                      5.42
64                      5.95
128                     8.69
256                     7.68
512                     9.31
1024                   13.72
2048                   15.68
4096                   19.01
8192                   42.27
16384                  56.77
32768                  70.47
65536                 138.53
131072                163.26
262144                188.74
524288                242.95
1048576               344.50
