# OSU MPI-ROCM All-to-All Personalized Exchange Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      42.87
2                      44.75
4                      53.55
8                      53.79
16                     58.72
32                     59.94
64                     74.04
128                    82.79
256                   205.53
512                   663.98
1024                  500.88
2048                  214.49
4096                  236.99
8192                  301.43
16384                 378.70
32768                 499.07
65536                 923.05
131072               1977.65
262144               3924.39
524288               8025.43
1048576             16610.83
