# OSU MPI-ROCM Allgather Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       3.32
2                       2.97
4                       2.90
8                       3.10
16                      3.33
32                      3.35
64                      3.53
128                     4.02
256                     4.76
512                     5.81
1024                   10.37
2048                   13.08
4096                   19.53
8192                   50.46
16384                  46.17
32768                  49.00
65536                  55.20
131072                 68.44
262144                 95.44
524288                148.69
1048576               245.06
