# OSU MPI-ROCM Allreduce Latency Test v7.5.2
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      19.24
8                      19.43
16                     19.27
32                     19.27
64                     19.51
128                    21.59
256                    33.05
512                    33.81
1024                   37.13
2048                   40.17
4096                   44.55
8192                   83.21
16384                 199.27
32768                 214.39
65536                 239.97
131072                277.13
262144                277.90
524288               1886.55
1048576              2160.05
