
# OSU MPI Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       0.74
2                       0.74
4                       0.75
8                       0.74
16                      0.74
32                      0.84
64                      0.93
128                     0.96
256                     0.92
512                     1.04
1024                    1.18
2048                    1.52
4096                    2.17
8192                    1.51
16384                   1.61
32768                   2.02
65536                   2.47
131072                  3.23
262144                  4.02
524288                 17.90
1048576                18.69
2097152                37.31
4194304                72.31
