# OSU MPI-CUDA All-to-All Personalized Exchange Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      57.55
2                      57.65
4                      57.85
8                      57.52
16                     57.58
32                     57.62
64                     57.73
128                    57.60
256                    57.58
512                    57.47
1024                   57.72
2048                   58.08
4096                   57.70
8192                   58.00
16384                  57.24
32768                  58.64
65536                  57.31
131072                 57.27
262144                 58.60
524288                 80.39
1048576                70.87
