# OSU MPI-CUDA All-to-All Personalized Exchange Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      55.79
2                      55.51
4                      55.45
8                      55.45
16                     55.50
32                     55.54
64                     55.62
128                    55.86
256                    59.53
512                    59.87
1024                   61.96
2048                   65.71
4096                   67.59
8192                   69.16
16384                  74.84
32768                  83.01
65536                 103.14
131072                122.57
262144                179.15
524288                259.27
1048576               510.56
