# OSU MPI-CUDA Allgather Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      41.03
2                      40.08
4                      39.93
8                      39.95
16                     40.20
32                     40.34
64                     41.38
128                    41.97
256                    41.76
512                    42.46
1024                   44.44
2048                   45.74
4096                   46.59
8192                   48.26
16384                  54.35
32768                  64.30
65536                  74.74
131072                 87.47
262144                127.57
524288                212.07
1048576              2686.66
