# OSU MPI-CUDA Allreduce Latency Test v7.5.2
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      35.74
8                      35.35
16                     35.25
32                     35.46
64                     35.28
128                    35.47
256                    35.67
512                    37.28
1024                   38.67
2048                   40.48
4096                   56.96
8192                   67.09
16384                  87.31
32768                  99.19
65536                 121.14
131072                147.03
262144                222.70
524288                365.59
1048576               687.68
