# OSU MPI-CUDA Allgather Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      43.31
2                      42.56
4                      42.22
8                      41.95
16                     42.03
32                     42.07
64                     42.28
128                    43.14
256                    45.10
512                    46.88
1024                   49.31
2048                   51.08
4096                   52.27
8192                   55.53
16384                  59.16
32768                  69.08
65536                  82.21
131072                106.93
262144                156.52
524288                258.30
1048576               471.79
