# OSU MPI-CUDA Allreduce Latency Test v7.5.2
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      30.46
8                      29.66
16                     29.56
32                     29.40
64                     29.60
128                    30.68
256                    32.36
512                    32.48
1024                   32.93
2048                   34.72
4096                   35.84
8192                   46.30
16384                  48.03
32768                  53.09
65536                  67.24
131072                 82.54
262144                111.05
524288                160.05
1048576               277.09
