# OSU MPI-CUDA Bi-Directional Bandwidth Test v7.5.2
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       1.47
2                       3.37
4                       6.94
8                      13.56
16                     27.82
32                     54.41
64                    111.22
128                   216.91
256                   446.06
512                   870.79
1024                 1533.84
2048                 3208.50
4096                 5547.89
8192                 1088.75
16384                1944.96
32768               26409.17
65536               33552.82
131072              39133.05
262144              41904.12
524288              43677.01
1048576             44731.95
2097152             45224.20
4194304             45808.16
