# OSU MPI-ROCM Allreduce Latency Test v7.5.2
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                     176.91
8                      85.39
16                     84.30
32                    106.71
64                    105.11
128                   121.63
256                   108.16
512                   108.68
1024                  110.77
2048                  122.51
4096                  138.14
8192                  132.87
16384                 158.17
32768                 188.80
65536                 236.85
131072                393.38
262144                708.42
524288               1321.45
1048576              2558.48
