# OSU MPI-ROCM Allgather Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      63.05
2                      63.25
4                      63.50
8                      63.84
16                     64.93
32                     65.24
64                     69.05
128                    74.96
256                    81.15
512                    84.39
1024                  104.03
2048                  135.82
4096                  165.77
8192                  290.60
16384                 389.96
32768                 701.50
65536                1317.32
131072               2546.38
262144               4833.81
524288               9990.18
1048576             19463.36
