# OSU MPI-CUDA Bi-Directional Bandwidth Test v7.5.2
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       1.47
2                       3.25
4                       6.69
8                      13.52
16                     27.02
32                     54.63
64                    109.40
128                   214.59
256                   438.35
512                   855.48
1024                 1514.81
2048                 3113.21
4096                 5390.41
8192                10638.37
16384               18470.86
32768               26390.56
65536               33701.85
131072              39085.05
262144              41912.83
524288              43617.24
1048576             44736.67
2097152             45004.55
4194304             45780.99
