# nccl-tests version 2.17.9 nccl-headers=22902 nccl-library=22902
# Collective test starting: all_reduce_perf
# nThread 1 nGpus 1 minBytes 1 maxBytes 134217728 step: 2(factor) warmup iters: 1 iters: 20 agg iters: 1 validation: 1 graph: 0
#
# Using devices
#
#                                                              out-of-place                       in-place          
#       size         count      type   redop    root     time   algbw   busbw  #wrong     time   algbw   busbw  #wrong 
#        (B)    (elements)                               (us)  (GB/s)  (GB/s)             (us)  (GB/s)  (GB/s)         
           1             1      int8     sum      -1    92.84    0.00    0.00       0    39.12    0.00    0.00       0
           2             2      int8     sum      -1    40.42    0.00    0.00       0    39.83    0.00    0.00       0
           4             4      int8     sum      -1    39.17    0.00    0.00       0    40.63    0.00    0.00       0
           8             8      int8     sum      -1    38.56    0.00    0.00       0    39.57    0.00    0.00       0
          16            16      int8     sum      -1    38.53    0.00    0.00       0    39.31    0.00    0.00       0
          32            32      int8     sum      -1    39.02    0.00    0.00       0    38.68    0.00    0.00       0
          64            64      int8     sum      -1    46.22    0.00    0.00       0    47.24    0.00    0.00       0
         128           128      int8     sum      -1    46.36    0.00    0.01       0    46.91    0.00    0.01       0
         256           256      int8     sum      -1    51.51    0.00    0.01       0    46.28    0.01    0.01       0
         512           512      int8     sum      -1    51.55    0.01    0.02       0    49.50    0.01    0.02       0
        1024          1024      int8     sum      -1    52.79    0.02    0.04       0    50.22    0.02    0.04       0
        2048          2048      int8     sum      -1    54.50    0.04    0.07       0    54.31    0.04    0.07       0
        4096          4096      int8     sum      -1    63.01    0.07    0.13       0    59.21    0.07    0.14       0
        8192          8192      int8     sum      -1    64.75    0.13    0.25       0    60.51    0.14    0.27       0
       16384         16384      int8     sum      -1    65.76    0.25    0.49       0    62.29    0.26    0.52       0
       32768         32768      int8     sum      -1    65.53    0.50    0.98       0    61.63    0.53    1.05       0
       65536         65536      int8     sum      -1    76.68    0.85    1.68       0    75.06    0.87    1.72       0
      131072        131072      int8     sum      -1    96.75    1.35    2.67       0    94.42    1.39    2.73       0
      262144        262144      int8     sum      -1   100.08    2.62    5.16       0   100.45    2.61    5.14       0
      524288        524288      int8     sum      -1   112.40    4.66    9.18       0   110.15    4.76    9.37       0
     1048576       1048576      int8     sum      -1   133.20    7.87   15.50       0   131.17    7.99   15.74    4096
     2097152       2097152      int8     sum      -1   211.45    9.92   19.53   20288   546.11    3.84    7.56    4032
     4194304       4194304      int8     sum      -1   496.79    8.44   16.62   21824   461.21    9.09   17.90   12544
     8388608       8388608      int8     sum      -1   646.75   12.97   25.54    8448   654.23   12.82   25.24   18892
    16777216      16777216      int8     sum      -1   957.84   17.52   34.48       0  1442.76   11.63   22.89       0
    33554432      33554432      int8     sum      -1  2318.90   14.47   28.49       0  1549.76   21.65   42.63       0
    67108864      67108864      int8     sum      -1  14516.2    4.62    9.10       0  22988.7    2.92    5.75       0
   134217728     134217728      int8     sum      -1   156107    0.86    1.69       0   146624    0.92    1.80       0
# Out of bounds values : 448 FAILED
# Avg bus bandwidth    : 5.93289 
#
# Collective test concluded: all_reduce_perf
#

