# nccl-tests version 2.17.9 nccl-headers=22902 nccl-library=22902
# Collective test starting: all_gather_perf
# nThread 1 nGpus 1 minBytes 1 maxBytes 134217728 step: 2(factor) warmup iters: 1 iters: 20 agg iters: 1 validation: 1 graph: 0
#
# Using devices
#
#                                                              out-of-place                       in-place          
#       size         count      type   redop    root     time   algbw   busbw  #wrong     time   algbw   busbw  #wrong 
#        (B)    (elements)                               (us)  (GB/s)  (GB/s)             (us)  (GB/s)  (GB/s)         
           0             0      int8    none      -1     0.32    0.00    0.00       0     0.25    0.00    0.00       0
           0             0      int8    none      -1     0.26    0.00    0.00       0     0.31    0.00    0.00       0
           0             0      int8    none      -1     0.31    0.00    0.00       0     0.31    0.00    0.00       0
           0             0      int8    none      -1     0.30    0.00    0.00       0     0.31    0.00    0.00       0
           0             0      int8    none      -1     0.30    0.00    0.00       0     0.29    0.00    0.00       0
           0             0      int8    none      -1     0.27    0.00    0.00       0     0.27    0.00    0.00       0
           0             0      int8    none      -1     0.27    0.00    0.00       0     0.26    0.00    0.00       0
           0             0      int8    none      -1     0.24    0.00    0.00       0     0.23    0.00    0.00       0
           0             0      int8    none      -1     0.23    0.00    0.00       0     0.24    0.00    0.00       0
           0             0      int8    none      -1     0.23    0.00    0.00       0     0.23    0.00    0.00       0
        1024            16      int8    none      -1   146.41    0.01    0.01       0   146.57    0.01    0.01       0
        2048            32      int8    none      -1   140.56    0.01    0.01       0   142.89    0.01    0.01       0
        4096            64      int8    none      -1   143.43    0.03    0.03       0   142.87    0.03    0.03       0
        8192           128      int8    none      -1   144.54    0.06    0.06       0   141.46    0.06    0.06       0
       16384           256      int8    none      -1   147.39    0.11    0.11       0   148.19    0.11    0.11       0
       32768           512      int8    none      -1   158.17    0.21    0.20       0   157.37    0.21    0.20       0
       65536          1024      int8    none      -1   179.97    0.36    0.36       0   177.34    0.37    0.36       0
      131072          2048      int8    none      -1   200.88    0.65    0.64       0   189.57    0.69    0.68       0
      262144          4096      int8    none      -1   251.16    1.04    1.03       0   223.65    1.17    1.15       0
      524288          8192      int8    none      -1   251.92    2.08    2.05       0   224.95    2.33    2.29       0
     1048576         16384      int8    none      -1   254.12    4.13    4.06       0   275.58    3.80    3.75       0
     2097152         32768      int8    none      -1   422.08    4.97    4.89       0   450.14    4.66    4.59       0
     4194304         65536      int8    none      -1   489.02    8.58    8.44       0   581.73    7.21    7.10       0
     8388608        131072      int8    none      -1   607.45   13.81   13.59   13120   575.69   14.57   14.34   62212
    16777216        262144      int8    none      -1   831.46   20.18   19.86   26368   851.95   19.69   19.38   16192
    33554432        524288      int8    none      -1   464.17   72.29   71.16       0   700.84   47.88   47.13       0
    67108864       1048576      int8    none      -1   806.55   83.21   81.91       0   825.05   81.34   80.07       0
   134217728       2097152      int8    none      -1  37931.0    3.54    3.48       0  65991.7    2.03    2.00       0
# Out of bounds values : 256 FAILED
# Avg bus bandwidth    : 7.05652 
#
# Collective test concluded: all_gather_perf
#

