# OSU MPI-CUDA Allgather Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      47.93
2                      45.56
4                      45.54
8                      47.31
16                     49.02
32                     50.91
64                     52.40
128                    53.27
256                    55.09
512                    66.61
1024                   88.62
2048                   93.77
4096                  105.47
8192                  124.18
16384                 155.69
32768                1159.90
65536                1181.13
131072               1288.10
262144               1415.39
524288               2102.21
1048576              3402.67
