# OSU MPI Allgather Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      25.29
2                      24.96
4                      24.69
8                      24.47
16                     24.74
32                     26.34
64                     26.91
128                    27.38
256                    27.63
512                    36.32
1024                   56.20
2048                   58.34
4096                   64.08
8192                   70.73
16384                  79.69
32768                  96.39
65536                 130.72
131072                204.74
262144                344.41
524288                639.03
1048576              1260.19
