# OSU MPI Allgather Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      25.62
2                      25.46
4                      25.04
8                      24.42
16                     24.69
32                     26.62
64                     27.29
128                    27.43
256                    27.59
512                    36.61
1024                   56.97
2048                   59.15
4096                   65.25
8192                   71.55
16384                  79.98
32768                  96.33
65536                 131.34
131072                204.37
262144                347.98
524288                641.02
1048576              1260.22
