# OSU MPI-CUDA Allreduce Latency Test v7.5.2
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      33.86
8                      33.10
16                     33.20
32                     33.19
64                     33.39
128                    33.40
256                    36.23
512                    36.87
1024                   58.43
2048                   62.36
4096                   96.28
8192                  101.39
16384                 107.42
32768                 103.26
65536                 117.35
131072                 98.63
262144                100.88
524288                104.73
1048576               111.28
