# OSU MPI Allreduce Latency Test v7.5.2
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      20.31
8                      20.72
16                     20.15
32                     20.30
64                     20.14
128                    21.36
256                    25.43
512                    41.14
1024                   61.61
2048                   68.94
4096                  113.63
8192                  119.47
16384                 125.35
32768                 135.77
65536                 147.32
131072                169.22
262144                239.26
524288                395.70
1048576               821.72
