# OSU NCCL-CUDA All-to-All Personalized Exchange Latency Test v7.5.2
# Size       Avg Latency(us)
1                      97.54
2                      95.66
4                      96.84
8                      96.55
16                     95.96
32                     96.02
64                     95.54
128                    95.58
256                    92.39
512                    92.09
1024                   92.39
2048                   93.20
4096                   93.88
8192                   95.49
16384                 103.71
32768                 135.51
65536                 206.55
131072                330.07
262144                653.52
524288               1393.12
1048576              2561.13
