# OSU MPI-CUDA Allreduce Latency Test v7.5.2
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      53.66
8                      52.03
16                     52.15
32                     51.89
64                     52.24
128                    53.40
256                    62.02
512                    62.84
1024                   87.20
2048                   93.90
4096                  141.83
8192                  151.39
16384                 161.62
32768                 162.50
65536                 178.82
131072                217.39
262144                275.48
524288                335.82
1048576               254.26
