# OSU MPI Allreduce Latency Test v7.5.2
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      26.93
8                      24.64
16                     27.11
32                     24.47
64                     25.74
128                    25.92
256                    33.91
512                    47.57
1024                   70.11
2048                   78.25
4096                  125.45
8192                  135.58
16384                 138.71
32768                 147.64
65536                 157.82
131072                202.44
262144                255.35
524288                430.46
1048576               914.59
