# OSU MPI Allreduce Latency Test v7.5.2
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      27.32
8                      26.53
16                     25.74
32                     24.82
64                     25.02
128                    26.54
256                    31.88
512                    47.29
1024                   70.00
2048                   76.02
4096                  123.70
8192                  129.61
16384                 137.74
32768                 145.97
65536                 158.48
131072                185.30
262144                255.64
524288                423.91
1048576               896.96
