# OSU MPI-CUDA All-to-All Personalized Exchange Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                     186.41
2                     186.05
4                     186.82
8                     188.79
16                    190.00
32                    212.95
64                    225.96
128                   230.05
256                   235.07
512                   239.91
1024                  149.63
2048                  157.15
4096                  169.73
8192                  425.39
16384                 443.73
32768                 267.28
65536                 226.05
131072                495.99
262144               1047.40
524288               2190.68
1048576              4106.58
