# OSU NCCL-CUDA Allreduce Latency Test v7.5.2
# Size       Avg Latency(us)
4                      37.55
8                      37.30
16                     37.12
32                     37.15
64                     40.77
128                    41.29
256                    41.54
512                    42.23
1024                   43.71
2048                   45.19
4096                   48.71
8192                   54.79
16384                  62.72
32768                 111.20
65536                 160.17
131072                 92.09
262144                114.66
524288                223.59
1048576               490.00
