# OSU NCCL-CUDA Allreduce Latency Test v7.5.2
# Size       Avg Latency(us)
4                      25.10
8                      24.14
16                     24.31
32                     24.24
64                     25.35
128                    25.35
256                    25.46
512                    25.70
1024                   26.33
2048                   27.09
4096                   28.32
8192                   31.83
16384                  34.85
32768                  55.77
65536                  97.28
131072                103.41
262144                116.49
524288                103.51
1048576               122.89
