# OSU NCCL-CUDA Allreduce Latency Test v7.5.2
# Size       Avg Latency(us)
4                      30.95
8                      31.02
16                     30.62
32                     31.17
64                     33.19
128                    33.59
256                    33.48
512                    34.47
1024                   35.04
2048                   36.45
4096                   38.49
8192                   43.75
16384                  49.24
32768                  81.13
65536                 195.40
131072                204.43
262144                234.21
524288                202.61
1048576               191.59
