# OSU MPI Allreduce Latency Test v7.5.2
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      16.82
8                      16.84
16                     16.82
32                     16.29
64                     16.16
128                    17.33
256                    20.40
512                    35.21
1024                   55.82
2048                   62.12
4096                  105.57
8192                  110.67
16384                 115.64
32768                 122.78
65536                 130.24
131072                156.47
262144                226.56
524288                378.76
1048576               780.06
