# OSU NCCL-CUDA Allgather Latency Test v7.5.2
# Size       Avg Latency(us)
1                      49.51
2                      49.00
4                      48.79
8                      48.73
16                     48.76
32                     48.69
64                     48.90
128                    49.86
256                    50.41
512                    51.22
1024                   53.07
2048                   55.25
4096                   58.27
8192                   91.01
16384                 109.37
32768                 128.00
65536                 108.94
131072                130.09
262144                209.02
524288                375.88
1048576               692.66
