# OSU MPI-ROCM All-to-All Personalized Exchange Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      12.81
2                      12.93
4                      12.93
8                      12.97
16                     13.02
32                     12.90
64                     12.86
128                    13.21
256                    68.41
512                    68.98
1024                   63.65
2048                   68.01
4096                   42.22
8192                  956.90
16384                1011.35
32768                 936.76
65536                 450.29
131072                302.12
262144                373.81
524288                987.63
1048576              1321.00
