# OSU MPI-ROCM All-to-All Personalized Exchange Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      49.93
2                      49.04
4                      50.53
8                      51.48
16                     52.65
32                    126.65
64                    129.33
128                   131.92
256                   142.99
512                   159.17
1024                  188.36
2048                  243.46
4096                  109.27
8192                 3814.53
16384                 180.47
32768                 287.63
65536                 545.47
131072               2113.63
262144              13637.95
524288               4232.19
1048576              8287.24
