# OSU MPI-ROCM Allgather Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      32.61
2                      33.38
4                      34.01
8                      34.82
16                     59.81
32                     60.63
64                     75.42
128                    76.25
256                   100.93
512                   139.32
1024                  237.30
2048                  383.65
4096                  578.63
8192                 1552.19
16384                2387.59
32768               15286.02
65536               25341.32
131072              46282.21
262144              87898.14
524288             181102.16
1048576            349959.30
