# OSU MPI-ROCM Allreduce Latency Test v7.5.2
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                       5.43
8                       5.36
16                      5.31
32                      5.26
64                      5.73
128                     5.81
256                     6.03
512                     6.25
1024                    6.56
2048                   65.35
4096                   66.55
8192                   72.21
16384                  70.91
32768                  79.32
65536                 118.58
131072                187.26
262144                298.33
524288                492.93
1048576              1436.87
