# OSU MPI-ROCM Allreduce Latency Test v7.5.2
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      39.51
8                      40.09
16                     40.00
32                     40.23
64                     62.24
128                    65.18
256                    68.83
512                    72.02
1024                   74.82
2048                  124.78
4096                  146.15
8192                  161.91
16384                 190.18
32768                 297.88
65536                 583.36
131072                542.15
262144                861.29
524288               1811.75
1048576              2788.28
