# OSU MPI-ROCM Allgather Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      11.36
2                      11.36
4                      11.34
8                      11.37
16                     11.42
32                     11.61
64                     12.75
128                    14.10
256                    44.17
512                    44.62
1024                   45.25
2048                   76.18
4096                   72.33
8192                   97.69
16384                 114.56
32768                1604.06
65536                1806.87
131072               2594.14
262144               2480.42
524288               2399.20
1048576              2088.42
