# OSU MPI-ROCM Allgather Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       4.91
2                       4.96
4                       4.96
8                       4.92
16                      5.04
32                      5.23
64                      5.45
128                     5.73
256                    35.71
512                    36.52
1024                   38.31
2048                   64.08
4096                   70.67
8192                   91.30
16384                 134.36
32768                  81.72
65536                  90.69
131072                 95.30
262144                116.83
524288                160.19
1048576               247.79
