# OSU MPI-ROCM Allgather Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      32.79
2                      34.71
4                      37.07
8                      39.59
16                     66.11
32                     69.27
64                     72.21
128                    81.46
256                   112.07
512                   126.72
1024                  204.41
2048                  289.31
4096                  514.68
8192                  962.71
16384                1455.21
32768                5401.77
65536                6578.81
131072               8533.93
262144              12993.94
524288              21315.18
1048576             39044.66
