
# OSU MPI Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       0.38
2                       0.38
4                       0.38
8                       0.38
16                      0.44
32                      0.44
64                      0.44
128                     0.46
256                     0.47
512                     0.63
1024                    0.62
2048                    0.63
4096                    0.64
8192                    0.67
16384                   0.72
32768                   0.97
65536                   1.32
131072                  1.90
262144                  3.04
524288                  8.85
1048576                18.01
2097152                36.86
4194304                71.24
