
# OSU MPI Bi-Directional Bandwidth Test v7.5.2
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                      13.63
2                      26.74
4                      53.79
8                     109.16
16                    201.01
32                    404.07
64                    389.25
128                   608.79
256                  1332.22
512                  2879.81
1024                 5418.69
2048                10843.03
4096                21679.14
8192                37278.39
16384               42676.43
32768               58507.72
65536               76743.91
131072              89800.76
262144              86131.85
524288              69410.53
1048576             59993.52
2097152             57096.54
4194304             54966.01
