
# OSU MPI Bi-Directional Bandwidth Test v7.5.2
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       6.69
2                      13.34
4                      26.84
8                      53.07
16                    107.79
32                    188.80
64                    314.25
128                   612.95
256                  1199.37
512                  2166.69
1024                 3819.12
2048                 6172.09
4096                 6907.68
8192                24546.85
16384               37183.32
32768               50276.95
65536               63371.23
131072              78785.45
262144              58119.14
524288              50309.12
1048576             60979.78
2097152             56903.57
4194304             54766.35
