# OSU MPI-ROCM Bi-Directional Bandwidth Test v7.5.2
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       2.71
2                       5.39
4                      10.71
8                      21.64
16                     42.85
32                     86.19
64                    173.55
128                   342.72
256                   636.35
512                  1219.84
1024                 1243.92
2048                 4295.04
4096                 7992.17
8192                11343.37
16384               17811.50
32768               32645.97
65536               38498.43
131072              42264.82
262144              44379.52
524288              45507.08
1048576             46100.17
2097152             46406.47
4194304             46561.67
