# OSU MPI Bi-Directional Bandwidth Test v7.5.2
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       2.03
2                       4.12
4                       8.26
8                      16.27
16                     33.05
32                     65.41
64                    132.31
128                   263.30
256                   494.79
512                   992.86
1024                 1992.41
2048                 3965.37
4096                 7931.62
8192                15758.77
16384               23368.02
32768               26349.33
65536               29489.91
131072              31833.83
262144              32908.01
524288              33474.79
1048576             34085.91
2097152             34281.92
4194304             34406.73
