# OSU MPI-ROCM Bi-Directional Bandwidth Test v7.5.2
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       5.77
2                       9.68
4                      19.15
8                      40.07
16                     80.53
32                    166.11
64                    328.72
128                   462.80
256                   916.82
512                  1487.12
1024                  835.27
2048                 1595.92
4096                 3182.76
8192                 1950.85
16384                3855.22
32768                7459.77
65536               14505.40
131072              26731.61
262144              46386.63
524288              71457.59
1048576             91746.83
2097152            105849.61
4194304            115049.04
