
# OSU MPI Bi-Directional Bandwidth Test v7.5.2
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       2.62
2                       5.47
4                      10.95
8                      21.89
16                     43.78
32                     87.37
64                    175.23
128                   348.92
256                   636.98
512                  1236.36
1024                 1276.49
2048                 4268.42
4096                 7550.15
8192                11634.32
16384               17003.92
32768               26213.46
65536               29737.21
131072              31823.18
262144              33007.14
524288              33645.66
1048576             34183.93
2097152             34362.69
4194304             34547.72
