# Send Buffer on DEVICE (D) and Receive Buffer on DEVICE (D)
# Size      Bandwidth (MB/s)
1                       0.24
2                       0.49
4                       0.97
8                       1.94
16                      3.85
32                      7.69
64                     15.38
128                    30.70
256                    61.15
512                   121.17
1024                  237.54
2048                  429.25
4096                  736.71
8192                 1512.57
16384                2944.11
32768                4592.14
65536                6331.37
131072              13398.45
262144              27076.76
524288              35647.84
1048576             43094.62
2097152             48620.26
4194304             55968.35
