# OSU MPI-ROCM Allgather Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                     108.08
2                     107.93
4                     109.42
8                     121.32
16                    141.54
32                    133.79
64                    276.51
128                   306.18
256                   354.83
512                   666.29
1024                  888.69
2048                 1310.22
4096                 3657.99
8192                 9230.43
16384               19153.51
32768               38790.20
65536               82394.98
131072             169520.03
262144             342377.90
524288             685977.93
1048576           1370843.93
